activity_id,user_id,department,user_role,system_name,privileged_access,successful_logins,failed_logins,after_hours_events,sensitive_records_accessed,distinct_locations,primary_country,activity_timestamp,synthetic_anomaly_label
A002038,U0568,Procurement,Contractor,HRIS,0,3,1,0,45,1,Sri Lanka,2026-08-02T09:07,0
A002039,U0564,Human Resources,Standard User,DEVOPS,0,5,0,0,46,1,Sri Lanka,2026-06-08T09:54,0
A002040,U0516,Procurement,Standard User,ERP-PROD,0,14,1,0,12,1,Sri Lanka,2026-06-15T20:41,0
A002041,U0567,Customer Support,Standard User,CUSTOMER-PORTAL,0,17,0,0,108,1,Sri Lanka,2026-06-27T23:05,0
A002042,U0695,Operations,HR Specialist,CUSTOMER-PORTAL,0,14,0,1,445,1,Sri Lanka,2026-07-05T03:04,0
A002043,U0519,Information Technology,Support Agent,PAYMENTS,0,29,1,0,48,1,Germany,2026-06-17T00:54,0
A002044,U0061,Information Technology,Standard User,ERP-PROD,0,12,2,1,68,1,United Kingdom,2026-07-24T21:20,0
A002045,U0678,Legal,Support Agent,DEVOPS,0,14,1,1,832,1,Sri Lanka,2026-08-26T10:50,0
A002046,U0245,Finance,Standard User,CRM-CLOUD,0,8,1,2,20,1,Sri Lanka,2026-07-28T19:39,0
A002047,U0581,Operations,Developer,CRM-CLOUD,0,22,1,1,43,1,Sri Lanka,2026-06-04T15:57,0
A002048,U0268,Information Technology,Standard User,HRIS,0,6,2,0,31,1,Singapore,2026-08-12T23:18,0
A002049,U0195,Information Technology,Finance Analyst,EMAIL,0,15,3,0,16,1,India,2026-06-28T01:08,0
A002050,U0863,Customer Support,HR Specialist,EMAIL,0,13,1,2,130,1,Sri Lanka,2026-08-18T00:07,0
A002051,U0841,Legal,Standard User,HRIS,0,2,1,1,89,1,United Kingdom,2026-06-17T23:32,0
A002052,U0419,Customer Support,System Administrator,EMAIL,1,26,1,1,88,1,Sri Lanka,2026-07-06T13:18,0
A002053,U0810,Procurement,Developer,FILE-SHARE,0,15,6,0,73,1,India,2026-06-24T15:56,0
A002054,U0556,Information Technology,Support Agent,ERP-PROD,0,13,0,0,246,1,Sri Lanka,2026-07-07T00:38,0
A002055,U0293,Finance,Developer,DATA-WAREHOUSE,0,3,3,0,164,1,India,2026-08-04T23:01,0
A002056,U0614,Customer Support,Standard User,DEVOPS,0,8,1,0,149,1,Sri Lanka,2026-07-21T01:02,0
A002057,U0543,Sales,Developer,CRM-CLOUD,0,16,3,0,154,1,India,2026-07-10T01:14,0
A002058,U0308,Operations,Standard User,EMAIL,0,11,1,0,416,1,Sri Lanka,2026-08-01T02:52,0
A002059,U0117,Procurement,Standard User,EMAIL,0,16,1,1,48,1,Sri Lanka,2026-08-10T19:21,0
A002060,U0121,Finance,HR Specialist,PAYMENTS,0,15,3,0,104,1,Sri Lanka,2026-06-19T13:51,0
A002061,U0785,Human Resources,Standard User,DATA-WAREHOUSE,0,11,3,1,84,1,India,2026-06-17T21:16,0
A002062,U0482,Finance,Developer,ERP-PROD,0,18,2,1,56,1,Sri Lanka,2026-08-23T15:50,0
A002063,U0845,Information Technology,Standard User,HRIS,0,13,2,1,39,1,Sri Lanka,2026-07-02T11:01,0
A002064,U0407,Operations,Finance Analyst,DATA-WAREHOUSE,0,18,1,0,61,1,United Kingdom,2026-06-16T12:15,0
A002065,U0714,Customer Support,Support Agent,FILE-SHARE,0,17,3,0,38,1,Sri Lanka,2026-06-08T15:58,0
A002066,U0338,Finance,Standard User,EMAIL,0,10,1,0,285,1,Sri Lanka,2026-08-16T14:45,0
A002067,U0068,Sales,Finance Analyst,PAYMENTS,0,13,0,0,215,1,Sri Lanka,2026-08-13T05:14,0
A002068,U0727,Sales,Support Agent,ERP-PROD,0,17,1,1,10,1,Sri Lanka,2026-07-01T11:35,0
A002069,U0278,Customer Support,Developer,FILE-SHARE,0,17,5,1,274,3,Sri Lanka,2026-06-05T08:30,0
A002070,U0092,Legal,Standard User,DATA-WAREHOUSE,0,19,1,2,435,1,Sri Lanka,2026-07-25T05:43,0
A002071,U0695,Procurement,System Administrator,EMAIL,1,14,0,4,248,1,Sri Lanka,2026-06-18T08:08,0
A002072,U0663,Information Technology,Contractor,FILE-SHARE,0,1,1,0,69,1,Sri Lanka,2026-07-26T02:11,0
A002073,U0114,Procurement,System Administrator,CUSTOMER-PORTAL,1,13,0,1,159,2,Germany,2026-08-20T23:41,0
A002074,U0185,Information Technology,Standard User,PAYMENTS,0,11,0,2,20,1,Sri Lanka,2026-08-17T09:22,0
A002075,U0195,Human Resources,Developer,DEVOPS,0,9,3,1,76,1,Sri Lanka,2026-08-12T19:09,0
A002076,U0613,Human Resources,Standard User,DEVOPS,0,14,1,2,36,2,Sri Lanka,2026-07-14T10:59,0
A002077,U0870,Customer Support,System Administrator,CUSTOMER-PORTAL,1,5,3,0,41,1,India,2026-08-31T15:00,0
A002078,U0614,Human Resources,Standard User,CRM-CLOUD,0,13,0,2,68,1,United States,2026-08-17T20:43,0
A002079,U0379,Sales,Standard User,PAYMENTS,0,19,0,2,81,1,Sri Lanka,2026-08-26T08:04,0
A002080,U0285,Operations,Support Agent,HRIS,0,17,2,1,21,1,Sri Lanka,2026-06-15T06:16,0
A002081,U0404,Information Technology,Developer,HRIS,0,26,4,0,15,1,Sri Lanka,2026-07-08T00:36,0
A002082,U0491,Information Technology,Developer,CUSTOMER-PORTAL,0,12,1,0,276,1,Sri Lanka,2026-07-27T12:51,0
A002083,U0449,Sales,Finance Analyst,CRM-CLOUD,0,1,2,0,178,1,Sri Lanka,2026-07-25T18:20,0
A002084,U0250,Finance,Developer,ERP-PROD,0,23,1,1,170,1,Sri Lanka,2026-07-28T19:21,0
A002085,U0615,Sales,Standard User,FILE-SHARE,0,11,4,1,25,1,Sri Lanka,2026-07-12T23:24,0
A002086,U0865,Sales,Standard User,FILE-SHARE,0,10,1,0,14,1,India,2026-06-13T17:51,0
A002087,U0759,Legal,Standard User,FILE-SHARE,0,3,0,1,24,2,Sri Lanka,2026-08-28T00:06,0
A002088,U0682,Operations,Developer,CUSTOMER-PORTAL,0,13,4,0,240,1,Sri Lanka,2026-08-19T11:33,0
A002089,U0379,Sales,Database Administrator,DATA-WAREHOUSE,1,5,1,0,650,2,Sri Lanka,2026-08-06T20:28,0
A002090,U0426,Customer Support,Contractor,CUSTOMER-PORTAL,0,13,1,0,11,1,Sri Lanka,2026-07-04T07:09,0
A002091,U0094,Sales,Finance Analyst,HRIS,0,27,0,0,39,2,United States,2026-06-21T22:53,0
A002092,U0493,Procurement,HR Specialist,EMAIL,0,14,0,0,102,1,Sri Lanka,2026-06-03T11:26,0
A002093,U0511,Finance,Contractor,DATA-WAREHOUSE,0,11,1,1,78,1,Sri Lanka,2026-07-11T18:44,0
A002094,U0719,Information Technology,Support Agent,PAYMENTS,0,1,1,0,23,1,Sri Lanka,2026-07-17T14:41,0
A002095,U0485,Sales,Support Agent,DATA-WAREHOUSE,0,1,3,0,565,1,Sri Lanka,2026-07-01T19:46,0
A002096,U0498,Customer Support,Contractor,HRIS,0,19,4,0,108,1,Sri Lanka,2026-07-01T23:37,0
A002097,U0402,Information Technology,Standard User,CUSTOMER-PORTAL,0,18,3,0,111,1,Sri Lanka,2026-07-10T08:49,0
A002098,U0036,Procurement,Contractor,DATA-WAREHOUSE,0,13,2,0,287,1,Sri Lanka,2026-08-01T14:09,0
A002099,U0292,Human Resources,Support Agent,HRIS,0,12,3,0,46,1,Sri Lanka,2026-07-13T20:34,0
A002100,U0269,Operations,Finance Analyst,DATA-WAREHOUSE,0,6,1,1,50,2,Singapore,2026-08-31T07:47,0
A002101,U0447,Information Technology,Developer,PAYMENTS,0,21,1,1,105,1,United States,2026-07-08T14:09,0
A002102,U0232,Human Resources,Developer,DATA-WAREHOUSE,0,16,3,1,347,1,Sri Lanka,2026-06-17T22:07,0
A002103,U0303,Information Technology,Developer,ERP-PROD,0,11,0,0,16,1,Sri Lanka,2026-07-25T02:27,0
A002104,U0680,Human Resources,Database Administrator,DEVOPS,1,7,1,0,375,1,Sri Lanka,2026-08-13T20:36,0
A002105,U0867,Procurement,Developer,ERP-PROD,0,2,1,1,87,1,Singapore,2026-06-04T09:49,0
A002106,U0887,Operations,Developer,DATA-WAREHOUSE,0,10,7,2,227,1,Singapore,2026-08-03T23:46,0
A002107,U0612,Sales,Standard User,HRIS,0,19,2,1,297,2,Sri Lanka,2026-07-06T23:11,0
A002108,U0050,Procurement,Support Agent,CUSTOMER-PORTAL,0,13,2,1,130,1,Sri Lanka,2026-08-14T14:42,0
A002109,U0611,Information Technology,System Administrator,CRM-CLOUD,1,8,0,0,12,1,Sri Lanka,2026-08-09T07:05,0
A002110,U0761,Operations,Support Agent,DEVOPS,0,16,0,0,19,1,United States,2026-07-06T10:24,0
A002111,U0761,Legal,Standard User,PAYMENTS,0,20,1,0,50,1,Sri Lanka,2026-07-01T11:18,0
A002112,U0141,Procurement,Developer,CRM-CLOUD,1,8,1,1,412,1,Sri Lanka,2026-08-03T07:35,0
A002113,U0171,Information Technology,Developer,DEVOPS,0,16,3,1,214,1,Sri Lanka,2026-07-04T15:27,0
A002114,U0518,Procurement,Support Agent,FILE-SHARE,0,17,3,1,91,1,Sri Lanka,2026-06-08T02:07,0
A002115,U0701,Legal,Standard User,CRM-CLOUD,0,5,1,0,58,1,Sri Lanka,2026-08-16T13:17,0
A002116,U0403,Legal,Support Agent,CUSTOMER-PORTAL,0,3,2,1,194,1,Singapore,2026-07-15T16:18,0
A002117,U0121,Finance,Finance Analyst,PAYMENTS,0,14,1,1,143,1,Sri Lanka,2026-08-25T05:17,0
A002118,U0178,Legal,Support Agent,FILE-SHARE,0,1,1,1,77,1,Sri Lanka,2026-07-23T14:19,0
A002119,U0706,Legal,Standard User,EMAIL,0,19,2,1,603,1,Sri Lanka,2026-06-26T01:02,0
A002120,U0715,Customer Support,Developer,FILE-SHARE,0,20,1,0,23,1,Sri Lanka,2026-06-27T22:39,0
A002121,U0093,Finance,Standard User,HRIS,0,13,4,1,37,1,Singapore,2026-08-28T06:06,0
A002122,U0605,Customer Support,Standard User,CUSTOMER-PORTAL,0,13,0,0,27,1,India,2026-07-31T05:26,0
A002123,U0115,Legal,Support Agent,DATA-WAREHOUSE,0,9,1,2,25,1,Sri Lanka,2026-08-02T19:26,0
A002124,U0734,Finance,Support Agent,DEVOPS,0,4,3,1,116,2,Sri Lanka,2026-06-24T09:44,0
A002125,U0758,Procurement,Support Agent,DEVOPS,0,20,1,0,58,1,Sri Lanka,2026-08-26T03:53,0
A002126,U0606,Human Resources,System Administrator,CUSTOMER-PORTAL,1,78,1,0,30,1,Sri Lanka,2026-06-27T04:47,1
A002127,U0322,Human Resources,Standard User,CUSTOMER-PORTAL,0,22,1,0,42,1,Germany,2026-07-07T15:53,0
A002128,U0255,Procurement,Finance Analyst,FILE-SHARE,0,14,1,1,525,1,Sri Lanka,2026-06-28T22:07,0
A002129,U0347,Information Technology,Standard User,DATA-WAREHOUSE,0,7,3,0,40,1,Sri Lanka,2026-06-27T04:47,0
A002130,U0778,Human Resources,Developer,CUSTOMER-PORTAL,1,9,2,2,136,1,Sri Lanka,2026-07-21T06:50,0
A002131,U0502,Customer Support,Standard User,ERP-PROD,0,17,1,0,119,1,Sri Lanka,2026-08-04T06:09,0
A002132,U0459,Customer Support,Standard User,EMAIL,0,6,1,1,125,1,Sri Lanka,2026-06-10T20:10,0
A002133,U0683,Customer Support,System Administrator,CUSTOMER-PORTAL,1,11,2,0,19,1,Germany,2026-08-13T20:37,0
A002134,U0336,Legal,System Administrator,EMAIL,1,1,2,0,102,1,India,2026-08-12T09:03,0
A002135,U0723,Sales,Standard User,CRM-CLOUD,0,17,0,1,33,1,Sri Lanka,2026-06-22T14:14,0
A002136,U0278,Human Resources,Finance Analyst,PAYMENTS,0,19,0,0,289,1,Sri Lanka,2026-06-25T18:30,0
A002137,U0139,Legal,Contractor,DATA-WAREHOUSE,0,16,2,3,49,1,Sri Lanka,2026-07-15T17:45,0
A002138,U0537,Finance,System Administrator,CUSTOMER-PORTAL,1,13,1,0,64,1,India,2026-07-12T02:20,0
A002139,U0174,Information Technology,HR Specialist,HRIS,0,1,1,0,40,1,Sri Lanka,2026-08-29T16:53,0
A002140,U0022,Finance,Standard User,PAYMENTS,0,11,0,3,29,1,Singapore,2026-08-02T03:03,0
A002141,U0650,Operations,Standard User,DEVOPS,0,9,1,1,31,1,Sri Lanka,2026-08-17T05:36,0
A002142,U0604,Operations,Support Agent,DEVOPS,0,7,1,0,10,1,Sri Lanka,2026-07-23T02:04,0
A002143,U0372,Operations,Standard User,HRIS,0,2,2,0,45,1,Sri Lanka,2026-06-09T14:31,0
A002144,U0391,Customer Support,Standard User,HRIS,0,18,0,0,218,1,Sri Lanka,2026-06-23T15:13,0
A002145,U0131,Information Technology,Finance Analyst,ERP-PROD,0,1,0,1,58,1,Sri Lanka,2026-07-28T13:43,0
A002146,U0060,Operations,Developer,PAYMENTS,0,10,1,0,165,1,India,2026-08-31T05:13,0
A002147,U0220,Operations,Standard User,DEVOPS,0,2,2,0,25,1,United States,2026-08-08T00:28,0
A002148,U0297,Customer Support,Support Agent,CUSTOMER-PORTAL,0,5,3,1,149,2,India,2026-08-15T13:52,0
A002149,U0785,Sales,System Administrator,EMAIL,1,10,2,0,11,1,Sri Lanka,2026-07-06T16:36,0
A002150,U0003,Sales,Finance Analyst,DATA-WAREHOUSE,0,4,0,0,309,1,India,2026-08-27T15:06,0
A002151,U0847,Legal,Developer,EMAIL,0,10,1,0,40,1,Sri Lanka,2026-07-15T17:21,0
A002152,U0033,Sales,Finance Analyst,EMAIL,0,3,3,0,229,1,Sri Lanka,2026-06-06T11:18,0
A002153,U0740,Finance,Standard User,ERP-PROD,0,20,0,0,438,1,Sri Lanka,2026-06-12T01:03,0
A002154,U0762,Sales,Developer,CUSTOMER-PORTAL,0,21,2,0,54,1,Singapore,2026-08-10T20:05,0
A002155,U0232,Information Technology,Support Agent,EMAIL,0,8,1,0,316,1,Sri Lanka,2026-06-25T08:47,0
A002156,U0304,Human Resources,Standard User,CRM-CLOUD,0,21,2,1,396,1,Sri Lanka,2026-06-26T03:57,0
A002157,U0491,Operations,Standard User,DEVOPS,0,18,0,1,153,1,Sri Lanka,2026-06-08T12:55,0
A002158,U0116,Procurement,HR Specialist,CUSTOMER-PORTAL,0,9,5,0,482,2,United Kingdom,2026-08-06T18:34,0
A002159,U0101,Finance,HR Specialist,PAYMENTS,0,23,1,0,96,1,United Kingdom,2026-06-29T03:22,0
A002160,U0250,Finance,Standard User,PAYMENTS,0,9,3,0,59,1,Sri Lanka,2026-07-11T19:05,0
A002161,U0027,Procurement,Standard User,CRM-CLOUD,0,15,1,1,267,2,Sri Lanka,2026-06-18T00:22,0
A002162,U0721,Legal,Standard User,FILE-SHARE,0,1,3,1,245,1,India,2026-08-11T10:23,0
A002163,U0687,Procurement,Developer,ERP-PROD,0,13,1,2,13994,1,India,2026-06-04T05:38,1
A002164,U0429,Finance,System Administrator,CRM-CLOUD,1,13,1,0,174,1,India,2026-06-16T11:02,0
A002165,U0676,Sales,Standard User,DEVOPS,0,16,0,1,178,1,Sri Lanka,2026-08-14T14:34,0
A002166,U0216,Legal,Standard User,DEVOPS,0,8,3,1,198,1,United States,2026-07-10T19:09,0
A002167,U0683,Operations,Support Agent,CUSTOMER-PORTAL,0,12,0,1,101,1,United Kingdom,2026-06-25T06:41,0
A002168,U0547,Operations,Support Agent,DEVOPS,0,9,4,0,387,1,Sri Lanka,2026-06-29T10:42,0
A002169,U0375,Human Resources,Standard User,PAYMENTS,0,2,0,0,62,1,Sri Lanka,2026-08-03T02:57,0
A002170,U0567,Information Technology,HR Specialist,CRM-CLOUD,0,4,2,1,45,1,United States,2026-08-06T21:52,0
A002171,U0661,Sales,Standard User,ERP-PROD,0,14,0,0,21,1,Sri Lanka,2026-07-24T01:48,0
A002172,U0899,Procurement,Standard User,FILE-SHARE,0,1,0,1,276,1,Sri Lanka,2026-08-30T16:18,0
A002173,U0716,Human Resources,Support Agent,CRM-CLOUD,0,16,2,0,31,1,Sri Lanka,2026-08-06T18:04,0
A002174,U0829,Information Technology,System Administrator,HRIS,1,3,4,0,139,1,United Kingdom,2026-08-19T21:07,0
A002175,U0554,Sales,Standard User,PAYMENTS,0,11,1,2,374,1,Singapore,2026-08-26T07:55,0
A002176,U0890,Sales,Developer,EMAIL,0,8,2,0,27,8,Sri Lanka,2026-06-04T22:08,1
A002177,U0359,Operations,Support Agent,EMAIL,0,15,0,3,159,1,Sri Lanka,2026-08-07T18:28,0
A002178,U0637,Operations,Standard User,HRIS,0,21,2,1,98,1,Singapore,2026-06-03T08:52,0
A002179,U0143,Procurement,Contractor,DATA-WAREHOUSE,0,15,1,0,38,1,Singapore,2026-08-25T03:51,0
A002180,U0637,Legal,HR Specialist,CRM-CLOUD,0,15,5,3,126,1,Sri Lanka,2026-08-15T05:06,0
A002181,U0236,Human Resources,Standard User,DATA-WAREHOUSE,0,16,0,0,51,2,India,2026-08-04T04:40,0
A002182,U0240,Sales,Standard User,FILE-SHARE,0,24,3,1,20,1,Sri Lanka,2026-06-20T18:43,0
A002183,U0373,Sales,Standard User,CRM-CLOUD,0,12,1,0,252,1,Sri Lanka,2026-08-23T07:32,0
A002184,U0280,Customer Support,System Administrator,DEVOPS,1,28,1,0,80,1,Sri Lanka,2026-08-02T09:46,0
A002185,U0733,Customer Support,HR Specialist,EMAIL,0,1,0,0,39,1,Sri Lanka,2026-07-31T01:19,0
A002186,U0447,Finance,Standard User,DEVOPS,0,12,0,0,128,1,India,2026-08-14T13:50,0
A002187,U0307,Human Resources,Standard User,DEVOPS,0,6,1,0,150,1,United States,2026-06-06T10:22,0
A002188,U0381,Sales,Support Agent,CUSTOMER-PORTAL,0,30,1,0,81,1,India,2026-06-28T16:22,0
A002189,U0681,Information Technology,Database Administrator,HRIS,1,13,2,27,114,1,Sri Lanka,2026-08-30T00:59,1
A002190,U0699,Information Technology,HR Specialist,HRIS,0,6,0,1,104,1,Sri Lanka,2026-08-07T00:57,0
A002191,U0777,Operations,Standard User,DATA-WAREHOUSE,0,9,1,1,204,1,Germany,2026-06-22T15:15,0
A002192,U0814,Customer Support,Standard User,CUSTOMER-PORTAL,0,17,3,0,58,1,Sri Lanka,2026-07-30T09:37,0
A002193,U0402,Information Technology,Standard User,HRIS,0,14,0,0,41,1,Germany,2026-08-09T05:51,0
A002194,U0752,Finance,Support Agent,PAYMENTS,0,21,2,0,779,1,Sri Lanka,2026-08-08T12:49,0
A002195,U0179,Operations,Developer,HRIS,0,14,4,1,136,2,Sri Lanka,2026-07-12T08:26,0
A002196,U0790,Finance,Standard User,ERP-PROD,0,8,1,1,69,1,Sri Lanka,2026-07-14T11:17,0
A002197,U0224,Information Technology,Developer,CUSTOMER-PORTAL,0,8,3,0,43,1,Sri Lanka,2026-06-10T22:05,0
A002198,U0150,Operations,Standard User,CUSTOMER-PORTAL,0,13,1,1,43,1,Sri Lanka,2026-07-07T09:44,0
A002199,U0313,Finance,System Administrator,DEVOPS,1,14,1,2,278,2,Sri Lanka,2026-07-02T00:33,0
A002200,U0020,Legal,Standard User,EMAIL,0,12,3,1,197,1,Sri Lanka,2026-08-17T17:29,0
A002201,U0155,Customer Support,Standard User,DEVOPS,0,29,2,1,50,2,Sri Lanka,2026-08-16T18:11,0
A002202,U0310,Customer Support,Finance Analyst,PAYMENTS,0,13,1,1,212,1,Sri Lanka,2026-08-16T13:49,0
A002203,U0448,Customer Support,Developer,DATA-WAREHOUSE,0,1,4,0,77,1,Sri Lanka,2026-07-05T22:42,0
A002204,U0366,Customer Support,Developer,FILE-SHARE,0,11,1,0,22,2,Singapore,2026-07-23T10:45,0
A002205,U0499,Finance,Standard User,ERP-PROD,0,25,2,1,123,1,Sri Lanka,2026-07-30T18:36,0
A002206,U0152,Human Resources,Finance Analyst,CUSTOMER-PORTAL,0,20,2,1,72,1,Sri Lanka,2026-06-13T19:52,0
A002207,U0257,Procurement,Standard User,HRIS,0,21,1,2,101,1,Sri Lanka,2026-08-04T13:21,0
A002208,U0754,Legal,Finance Analyst,HRIS,0,17,2,0,14,1,Sri Lanka,2026-08-08T13:03,0
A002209,U0564,Finance,Standard User,ERP-PROD,0,8,2,1,144,1,Sri Lanka,2026-07-21T14:19,0
A002210,U0431,Information Technology,Contractor,DATA-WAREHOUSE,0,28,1,1,10,1,United Kingdom,2026-07-25T13:35,0
A002211,U0356,Information Technology,HR Specialist,EMAIL,0,11,0,1,32,1,Sri Lanka,2026-06-07T21:42,0
A002212,U0898,Legal,Developer,PAYMENTS,0,8,2,0,79,1,Sri Lanka,2026-06-15T18:22,0
A002213,U0274,Information Technology,Support Agent,FILE-SHARE,0,18,2,0,38,1,Sri Lanka,2026-07-21T05:23,0
A002214,U0055,Human Resources,Support Agent,CRM-CLOUD,0,16,2,0,35,1,Sri Lanka,2026-07-27T17:18,0
A002215,U0609,Customer Support,Finance Analyst,DATA-WAREHOUSE,0,4,2,0,367,1,Sri Lanka,2026-06-05T11:19,0
A002216,U0045,Finance,Standard User,HRIS,0,33,2,1,12,2,Sri Lanka,2026-07-15T11:39,0
A002217,U0033,Customer Support,Standard User,HRIS,0,17,3,0,88,2,Sri Lanka,2026-06-05T18:01,0
A002218,U0047,Customer Support,System Administrator,HRIS,1,8,1,0,228,1,Sri Lanka,2026-06-24T02:36,0
A002219,U0633,Legal,Standard User,HRIS,0,14,0,2,253,1,United States,2026-06-20T06:47,0
A002220,U0320,Human Resources,Developer,HRIS,1,119,2,0,172,1,Sri Lanka,2026-07-28T10:20,1
A002221,U0439,Finance,Developer,ERP-PROD,1,21,2,1,364,1,Sri Lanka,2026-06-19T12:45,0
A002222,U0129,Sales,Developer,CUSTOMER-PORTAL,0,29,2,0,11,1,United States,2026-06-09T16:27,0
A002223,U0739,Sales,Standard User,DATA-WAREHOUSE,0,8,1,0,212,1,Sri Lanka,2026-07-11T18:20,0
A002224,U0732,Legal,System Administrator,ERP-PROD,1,7,1,1,12,1,United Kingdom,2026-07-25T18:25,0
A002225,U0210,Legal,HR Specialist,DEVOPS,0,16,0,0,71,1,India,2026-06-10T14:06,0
A002226,U0362,Information Technology,Support Agent,PAYMENTS,0,15,1,2,93,2,Singapore,2026-08-25T07:30,0
A002227,U0843,Information Technology,HR Specialist,PAYMENTS,0,5,0,1,30,1,India,2026-07-06T03:41,0
A002228,U0432,Procurement,Contractor,DEVOPS,0,11,1,0,17,1,Singapore,2026-08-28T21:14,0
A002229,U0667,Information Technology,Standard User,DEVOPS,0,15,6,1,212,1,Sri Lanka,2026-06-08T08:48,0
A002230,U0633,Customer Support,Finance Analyst,PAYMENTS,0,16,3,0,56,2,Sri Lanka,2026-07-02T02:48,0
A002231,U0253,Information Technology,Standard User,CUSTOMER-PORTAL,0,11,4,1,108,1,India,2026-07-30T10:32,0
A002232,U0399,Human Resources,Database Administrator,EMAIL,1,8,3,3,88,1,United Kingdom,2026-06-29T13:34,0
A002233,U0036,Finance,Standard User,EMAIL,0,1,1,1,38,1,India,2026-08-29T07:35,0
A002234,U0170,Operations,Standard User,HRIS,0,14,2,1,362,1,Singapore,2026-07-24T13:16,0
A002235,U0383,Customer Support,Contractor,CRM-CLOUD,0,8,1,1,134,1,Sri Lanka,2026-07-03T22:28,0
A002236,U0670,Procurement,Standard User,DEVOPS,0,25,0,0,27,1,India,2026-06-28T11:00,0
A002237,U0439,Finance,Support Agent,HRIS,0,11,0,0,97,1,Sri Lanka,2026-07-08T16:56,0
A002238,U0205,Legal,Finance Analyst,HRIS,0,5,1,1,71,1,Sri Lanka,2026-07-31T14:59,0
A002239,U0824,Operations,Support Agent,DATA-WAREHOUSE,0,18,4,0,59,2,Sri Lanka,2026-07-28T14:30,0
A002240,U0230,Procurement,Standard User,DATA-WAREHOUSE,0,19,1,0,35,1,Sri Lanka,2026-07-07T08:29,0
A002241,U0055,Customer Support,Standard User,EMAIL,0,14,1,1,146,1,Sri Lanka,2026-08-31T16:18,0
A002242,U0471,Legal,Support Agent,DATA-WAREHOUSE,0,5,1,0,625,1,Sri Lanka,2026-07-24T12:43,0
A002243,U0080,Sales,Standard User,ERP-PROD,0,10,3,0,67,1,Sri Lanka,2026-08-08T01:48,0
A002244,U0664,Operations,Developer,DATA-WAREHOUSE,0,4,1,0,29,1,Sri Lanka,2026-08-29T22:39,0
A002245,U0534,Operations,Standard User,DEVOPS,0,7,0,1,161,1,Sri Lanka,2026-07-16T07:06,0
A002246,U0260,Information Technology,Developer,PAYMENTS,0,17,2,4,701,1,Sri Lanka,2026-07-11T17:09,0
A002247,U0506,Sales,Standard User,HRIS,0,11,1,1,127,2,India,2026-06-12T00:08,0
A002248,U0616,Customer Support,Standard User,HRIS,0,22,0,1,1167,1,Sri Lanka,2026-07-15T21:22,0
A002249,U0624,Operations,Standard User,CUSTOMER-PORTAL,0,17,1,2,101,1,Sri Lanka,2026-08-23T12:56,0
A002250,U0550,Operations,System Administrator,PAYMENTS,1,6,1,3,61,1,Sri Lanka,2026-07-30T00:26,0
A002251,U0394,Legal,Standard User,CRM-CLOUD,0,15,1,0,84,1,Sri Lanka,2026-08-21T20:32,0
A002252,U0803,Procurement,Support Agent,DEVOPS,0,16,4,0,273,2,Sri Lanka,2026-08-01T09:14,0
A002253,U0022,Operations,Developer,DATA-WAREHOUSE,1,14,3,1,346,1,Sri Lanka,2026-08-11T13:23,0
A002254,U0880,Sales,Developer,EMAIL,0,1,2,1,34,1,Sri Lanka,2026-07-16T15:40,0
A002255,U0205,Information Technology,Standard User,ERP-PROD,0,9,4,0,19,2,Sri Lanka,2026-08-17T19:14,0
A002256,U0243,Procurement,HR Specialist,EMAIL,0,13,2,0,26,2,Singapore,2026-06-11T04:12,0
A002257,U0404,Operations,Finance Analyst,HRIS,0,1,1,0,174,1,Sri Lanka,2026-06-26T21:36,0
A002258,U0177,Information Technology,Standard User,EMAIL,0,21,2,0,41,1,Sri Lanka,2026-08-06T02:35,0
A002259,U0774,Customer Support,Standard User,DATA-WAREHOUSE,0,18,2,1,18,1,Sri Lanka,2026-07-16T05:10,0
A002260,U0021,Human Resources,Standard User,CUSTOMER-PORTAL,0,4,2,2,120,1,Sri Lanka,2026-06-29T06:12,0
A002261,U0368,Procurement,Support Agent,DATA-WAREHOUSE,0,17,2,2,91,2,Sri Lanka,2026-07-22T21:27,0
A002262,U0061,Customer Support,HR Specialist,CRM-CLOUD,0,9,0,2,22,1,Sri Lanka,2026-07-25T19:36,0
A002263,U0122,Sales,Contractor,ERP-PROD,0,10,0,1,38,2,Sri Lanka,2026-08-05T07:05,0
A002264,U0580,Operations,Finance Analyst,FILE-SHARE,0,23,0,0,22,1,Sri Lanka,2026-07-11T05:21,0
A002265,U0583,Procurement,Finance Analyst,EMAIL,0,11,1,0,57,3,Sri Lanka,2026-06-20T15:26,0
A002266,U0224,Human Resources,Finance Analyst,CRM-CLOUD,0,16,1,1,68,1,Sri Lanka,2026-07-14T21:08,0
A002267,U0108,Information Technology,Developer,FILE-SHARE,0,16,1,1,118,1,India,2026-08-11T01:19,0
A002268,U0629,Operations,Support Agent,CRM-CLOUD,0,16,4,0,103,2,Sri Lanka,2026-06-19T23:02,0
A002269,U0873,Human Resources,Finance Analyst,FILE-SHARE,0,12,0,0,41,1,Sri Lanka,2026-08-10T16:43,0
A002270,U0891,Customer Support,Standard User,CRM-CLOUD,0,6,1,0,26,1,Sri Lanka,2026-08-06T21:06,0
A002271,U0480,Finance,Standard User,CRM-CLOUD,0,11,1,0,93,1,India,2026-08-26T06:49,0
A002272,U0296,Finance,Standard User,FILE-SHARE,0,6,0,0,77,2,Sri Lanka,2026-07-10T05:22,0
