control_id,control_name,control_domain,control_type,control_owner,test_frequency,automated_control,design_effectiveness,operating_effectiveness,sample_size,failed_samples,last_test_date,next_test_date,linked_risk_id,deficiency_severity,test_status
C0323,Data Protection Control 0323,Data Protection,Preventive,S. Jayasinghe,Quarterly,0,Effective,Effective,10,0,2025-06-02,2025-08-31,R02417,None,Overdue
C0324,Data Protection Control 0324,Data Protection,Preventive,K. Fernando,Quarterly,0,Effective,Ineffective,10,3,2025-03-31,2025-06-29,R03897,High,Overdue
C0325,Change Management Control 0325,Change Management,Detective,M. Wijesinghe,Semi-Annual,0,Effective,Effective,20,0,2025-11-21,2026-05-20,R02408,None,Overdue
C0326,Security Awareness Control 0326,Security Awareness,Preventive,A. Perera,Quarterly,0,Effective,Effective,5,0,2025-09-06,2025-12-05,R03584,None,Overdue
C0327,Third-Party Risk Control 0327,Third-Party Risk,Detective,N. Silva,Monthly,1,Effective,Effective,5,0,2026-05-16,2026-06-15,R01898,None,Overdue
C0328,Change Management Control 0328,Change Management,Preventive,R. Gunawardena,Semi-Annual,1,Effective,Effective,40,0,2026-05-31,2026-11-27,R02162,None,Scheduled
C0329,Access Control Control 0329,Access Control,Preventive,K. Fernando,Quarterly,1,Effective,Effective,10,0,2026-03-12,2026-06-10,R01297,None,Overdue
C0330,Data Protection Control 0330,Data Protection,Detective,T. Karunaratne,Continuous,1,Needs Improvement,Effective,5,0,2026-02-25,2026-03-27,R01053,None,Overdue
C0331,Incident Response Control 0331,Incident Response,Corrective,K. Fernando,Quarterly,0,Needs Improvement,Effective,40,0,2025-04-14,2025-07-13,R02284,None,Overdue
C0332,Change Management Control 0332,Change Management,Preventive,A. Perera,Continuous,1,Effective,Not Tested,10,3,2026-08-15,2026-09-14,R00306,Medium,Scheduled
C0333,Third-Party Risk Control 0333,Third-Party Risk,Detective,M. Wijesinghe,Continuous,1,Effective,Effective,5,0,2025-04-28,2025-05-28,R00874,None,Overdue
C0334,Business Continuity Control 0334,Business Continuity,Preventive,M. Wijesinghe,Semi-Annual,1,Effective,Not Tested,5,2,2025-10-13,2026-04-11,R04490,Low,Overdue
C0335,Incident Response Control 0335,Incident Response,Detective,K. Fernando,Quarterly,1,Effective,Effective,5,0,2025-12-13,2026-03-13,R03350,None,Overdue
C0336,Security Awareness Control 0336,Security Awareness,Corrective,M. Wijesinghe,Monthly,0,Effective,Effective,10,0,2026-01-24,2026-02-23,R01141,None,Overdue
C0337,Incident Response Control 0337,Incident Response,Detective,N. Silva,Semi-Annual,0,Effective,Not Tested,5,1,2025-05-25,2025-11-21,R00852,Low,Overdue
C0338,Security Awareness Control 0338,Security Awareness,Detective,M. Wijesinghe,Semi-Annual,0,Effective,Effective,25,0,2026-02-03,2026-08-02,R00503,None,Overdue
C0339,Data Protection Control 0339,Data Protection,Detective,R. Gunawardena,Quarterly,0,Effective,Effective,20,0,2026-08-24,2026-11-22,R00835,None,Scheduled
C0340,Security Awareness Control 0340,Security Awareness,Detective,K. Fernando,Semi-Annual,1,Effective,Needs Improvement,25,11,2025-09-04,2026-03-03,R00467,High,Overdue
C0341,Security Awareness Control 0341,Security Awareness,Preventive,M. Wijesinghe,Annual,0,Effective,Effective,40,0,2026-06-17,2027-06-17,R01396,None,Scheduled
C0342,Third-Party Risk Control 0342,Third-Party Risk,Preventive,A. Perera,Monthly,0,Effective,Effective,15,0,2025-03-23,2025-04-22,R01253,None,Overdue
C0343,Incident Response Control 0343,Incident Response,Preventive,T. Karunaratne,Monthly,1,Ineffective,Effective,25,0,2025-04-14,2025-05-14,R01512,None,Overdue
C0344,Data Protection Control 0344,Data Protection,Detective,S. Jayasinghe,Monthly,1,Effective,Effective,15,0,2025-11-07,2025-12-07,R01208,None,Overdue
C0345,Data Protection Control 0345,Data Protection,Preventive,K. Fernando,Annual,0,Effective,Effective,30,0,2026-08-01,2027-08-01,R02101,None,Scheduled
C0346,Access Control Control 0346,Access Control,Preventive,K. Fernando,Semi-Annual,1,Ineffective,Effective,40,0,2026-04-27,2026-10-24,R00876,None,Scheduled
C0347,Access Control Control 0347,Access Control,Corrective,D. Senanayake,Quarterly,0,Effective,Effective,15,0,2025-08-08,2025-11-06,R00039,None,Overdue
C0348,Business Continuity Control 0348,Business Continuity,Preventive,T. Karunaratne,Quarterly,0,Effective,Needs Improvement,25,11,2026-07-19,2026-10-17,R02688,Low,Scheduled
C0349,Change Management Control 0349,Change Management,Preventive,N. Silva,Monthly,1,Effective,Needs Improvement,5,1,2026-07-01,2026-07-31,R04901,High,Overdue
C0350,Security Awareness Control 0350,Security Awareness,Corrective,R. Gunawardena,Continuous,1,Effective,Effective,25,0,2025-09-08,2025-10-08,R04614,None,Overdue
C0351,Third-Party Risk Control 0351,Third-Party Risk,Detective,S. Jayasinghe,Quarterly,0,Effective,Effective,30,0,2026-08-18,2026-11-16,R02612,None,Scheduled
C0352,Third-Party Risk Control 0352,Third-Party Risk,Detective,N. Silva,Continuous,0,Effective,Effective,10,0,2025-06-20,2025-07-20,R03192,None,Overdue
C0353,Vulnerability Management Control 0353,Vulnerability Management,Preventive,A. Perera,Monthly,1,Needs Improvement,Not Tested,5,1,2026-05-12,2026-06-11,R01208,Medium,Overdue
C0354,Business Continuity Control 0354,Business Continuity,Preventive,A. Perera,Annual,0,Effective,Needs Improvement,40,7,2026-01-23,2027-01-23,R00217,Medium,Scheduled
C0355,Vulnerability Management Control 0355,Vulnerability Management,Preventive,S. Jayasinghe,Monthly,0,Ineffective,Needs Improvement,10,4,2026-04-15,2026-05-15,R04796,Low,Overdue
C0356,Access Control Control 0356,Access Control,Corrective,R. Gunawardena,Semi-Annual,1,Needs Improvement,Effective,10,0,2026-08-31,2027-02-27,R01592,None,Scheduled
C0357,Access Control Control 0357,Access Control,Preventive,M. Wijesinghe,Semi-Annual,0,Effective,Effective,20,0,2026-07-17,2027-01-13,R02459,None,Scheduled
C0358,Business Continuity Control 0358,Business Continuity,Preventive,M. Wijesinghe,Quarterly,0,Effective,Effective,10,0,2025-07-24,2025-10-22,R03120,None,Overdue
C0359,Change Management Control 0359,Change Management,Detective,M. Wijesinghe,Continuous,0,Effective,Effective,40,0,2026-08-30,2026-09-29,R00885,None,Scheduled
C0360,Data Protection Control 0360,Data Protection,Detective,R. Gunawardena,Quarterly,1,Effective,Effective,15,0,2025-05-08,2025-08-06,R04741,None,Overdue
C0361,Data Protection Control 0361,Data Protection,Preventive,S. Jayasinghe,Annual,1,Needs Improvement,Ineffective,10,3,2026-03-17,2027-03-17,R00120,High,Scheduled
C0362,Data Protection Control 0362,Data Protection,Preventive,T. Karunaratne,Monthly,1,Effective,Effective,15,0,2025-11-05,2025-12-05,R01322,None,Overdue
C0363,Security Awareness Control 0363,Security Awareness,Preventive,A. Perera,Annual,1,Effective,Needs Improvement,30,8,2026-04-18,2027-04-18,R03428,Low,Scheduled
C0364,Business Continuity Control 0364,Business Continuity,Preventive,D. Senanayake,Quarterly,1,Effective,Effective,40,0,2025-11-09,2026-02-07,R00150,None,Overdue
C0365,Access Control Control 0365,Access Control,Preventive,S. Jayasinghe,Quarterly,1,Needs Improvement,Needs Improvement,5,1,2025-03-29,2025-06-27,R04423,High,Overdue
C0366,Business Continuity Control 0366,Business Continuity,Detective,D. Senanayake,Annual,1,Effective,Effective,5,0,2026-02-16,2027-02-16,R00642,None,Scheduled
C0367,Access Control Control 0367,Access Control,Corrective,N. Silva,Annual,1,Effective,Effective,20,0,2025-05-17,2026-05-17,R04488,None,Overdue
C0368,Data Protection Control 0368,Data Protection,Detective,T. Karunaratne,Semi-Annual,1,Effective,Needs Improvement,20,2,2026-01-24,2026-07-23,R02928,Low,Overdue
C0369,Incident Response Control 0369,Incident Response,Detective,T. Karunaratne,Semi-Annual,0,Effective,Needs Improvement,25,10,2025-06-06,2025-12-03,R02616,Medium,Overdue
C0370,Data Protection Control 0370,Data Protection,Corrective,R. Gunawardena,Quarterly,0,Effective,Effective,15,0,2026-04-05,2026-07-04,R04607,None,Overdue
C0371,Incident Response Control 0371,Incident Response,Detective,T. Karunaratne,Continuous,0,Ineffective,Needs Improvement,40,4,2025-11-28,2025-12-28,R03560,Low,Overdue
C0372,Incident Response Control 0372,Incident Response,Corrective,R. Gunawardena,Monthly,1,Effective,Effective,25,0,2026-03-09,2026-04-08,R00315,None,Overdue
C0373,Incident Response Control 0373,Incident Response,Preventive,A. Perera,Continuous,1,Effective,Needs Improvement,15,3,2025-04-10,2025-05-10,R03597,Medium,Overdue
C0374,Change Management Control 0374,Change Management,Corrective,D. Senanayake,Quarterly,1,Effective,Needs Improvement,25,7,2025-11-27,2026-02-25,R01308,Medium,Overdue
C0375,Change Management Control 0375,Change Management,Preventive,M. Wijesinghe,Semi-Annual,1,Effective,Needs Improvement,25,3,2026-05-19,2026-11-15,R01862,Medium,Scheduled
C0376,Third-Party Risk Control 0376,Third-Party Risk,Corrective,T. Karunaratne,Annual,0,Effective,Needs Improvement,40,10,2025-05-21,2026-05-21,R02154,Medium,Overdue
C0377,Vulnerability Management Control 0377,Vulnerability Management,Detective,T. Karunaratne,Quarterly,0,Effective,Effective,25,0,2026-07-05,2026-10-03,R04208,None,Scheduled
C0378,Security Awareness Control 0378,Security Awareness,Detective,S. Jayasinghe,Annual,0,Effective,Needs Improvement,30,11,2025-08-28,2026-08-28,R04097,High,Overdue
C0379,Security Awareness Control 0379,Security Awareness,Preventive,N. Silva,Continuous,1,Effective,Effective,5,0,2026-06-02,2026-07-02,R04987,None,Overdue
C0380,Security Awareness Control 0380,Security Awareness,Preventive,R. Gunawardena,Quarterly,0,Needs Improvement,Needs Improvement,30,3,2025-12-06,2026-03-06,R03043,High,Overdue
C0381,Security Awareness Control 0381,Security Awareness,Detective,K. Fernando,Semi-Annual,1,Needs Improvement,Effective,20,0,2025-11-24,2026-05-23,R03262,None,Overdue
C0382,Access Control Control 0382,Access Control,Preventive,S. Jayasinghe,Quarterly,1,Ineffective,Needs Improvement,25,11,2025-10-20,2026-01-18,R00062,Medium,Overdue
C0383,Access Control Control 0383,Access Control,Corrective,M. Wijesinghe,Semi-Annual,1,Effective,Ineffective,10,4,2025-12-28,2026-06-26,R02173,Low,Overdue
C0384,Business Continuity Control 0384,Business Continuity,Detective,D. Senanayake,Continuous,1,Effective,Not Tested,40,7,2025-11-16,2025-12-16,R02670,Low,Overdue
C0385,Access Control Control 0385,Access Control,Detective,N. Silva,Quarterly,1,Effective,Ineffective,20,4,2025-05-06,2025-08-04,R02112,Low,Overdue
C0386,Data Protection Control 0386,Data Protection,Corrective,T. Karunaratne,Annual,0,Effective,Ineffective,15,5,2026-01-04,2027-01-04,R03612,Low,Scheduled
C0387,Data Protection Control 0387,Data Protection,Detective,T. Karunaratne,Quarterly,1,Effective,Effective,25,0,2025-12-16,2026-03-16,R00163,None,Overdue
C0388,Vulnerability Management Control 0388,Vulnerability Management,Detective,D. Senanayake,Continuous,0,Effective,Ineffective,5,2,2026-01-24,2026-02-23,R02181,Low,Overdue
C0389,Access Control Control 0389,Access Control,Detective,R. Gunawardena,Continuous,0,Effective,Effective,20,0,2025-04-22,2025-05-22,R01390,None,Overdue
C0390,Access Control Control 0390,Access Control,Preventive,S. Jayasinghe,Semi-Annual,1,Needs Improvement,Effective,10,0,2026-02-01,2026-07-31,R03130,None,Overdue
C0391,Access Control Control 0391,Access Control,Preventive,D. Senanayake,Quarterly,1,Effective,Effective,5,0,2025-10-22,2026-01-20,R02679,None,Overdue
C0392,Business Continuity Control 0392,Business Continuity,Preventive,T. Karunaratne,Annual,1,Effective,Not Tested,30,2,2025-04-06,2026-04-06,R04559,Low,Overdue
C0393,Data Protection Control 0393,Data Protection,Preventive,K. Fernando,Annual,1,Effective,Effective,20,0,2025-05-11,2026-05-11,R03079,None,Overdue
C0394,Access Control Control 0394,Access Control,Preventive,N. Silva,Semi-Annual,1,Effective,Needs Improvement,20,3,2025-03-28,2025-09-24,R02568,Medium,Overdue
C0395,Data Protection Control 0395,Data Protection,Detective,K. Fernando,Quarterly,1,Effective,Needs Improvement,30,7,2025-05-22,2025-08-20,R02041,Low,Overdue
C0396,Third-Party Risk Control 0396,Third-Party Risk,Detective,K. Fernando,Monthly,0,Effective,Needs Improvement,40,9,2026-08-02,2026-09-01,R01131,Medium,Scheduled
C0397,Business Continuity Control 0397,Business Continuity,Preventive,T. Karunaratne,Annual,1,Effective,Effective,20,0,2025-06-20,2026-06-20,R00596,None,Overdue
C0398,Incident Response Control 0398,Incident Response,Detective,D. Senanayake,Quarterly,1,Needs Improvement,Needs Improvement,5,2,2026-03-29,2026-06-27,R00645,Medium,Overdue
C0399,Change Management Control 0399,Change Management,Preventive,M. Wijesinghe,Annual,1,Effective,Not Tested,30,4,2025-08-26,2026-08-26,R04904,Low,Overdue
C0400,Data Protection Control 0400,Data Protection,Preventive,S. Jayasinghe,Monthly,1,Effective,Effective,10,0,2025-03-10,2025-04-09,R04679,None,Overdue
C0401,Vulnerability Management Control 0401,Vulnerability Management,Detective,A. Perera,Quarterly,0,Needs Improvement,Needs Improvement,20,7,2025-08-24,2025-11-22,R00726,High,Overdue
C0402,Data Protection Control 0402,Data Protection,Preventive,R. Gunawardena,Quarterly,1,Needs Improvement,Effective,25,0,2026-07-24,2026-10-22,R03610,None,Scheduled
C0403,Business Continuity Control 0403,Business Continuity,Detective,D. Senanayake,Monthly,0,Effective,Effective,5,0,2025-10-04,2025-11-03,R01122,None,Overdue
C0404,Data Protection Control 0404,Data Protection,Detective,N. Silva,Continuous,0,Effective,Needs Improvement,25,8,2025-10-30,2025-11-29,R03892,High,Overdue
C0405,Data Protection Control 0405,Data Protection,Preventive,T. Karunaratne,Annual,0,Effective,Effective,10,0,2026-06-19,2027-06-19,R01435,None,Scheduled
C0406,Incident Response Control 0406,Incident Response,Detective,S. Jayasinghe,Annual,1,Needs Improvement,Effective,20,0,2025-12-17,2026-12-17,R04737,None,Scheduled
C0407,Data Protection Control 0407,Data Protection,Detective,K. Fernando,Continuous,1,Effective,Effective,25,0,2026-02-24,2026-03-26,R03828,None,Overdue
C0408,Data Protection Control 0408,Data Protection,Preventive,M. Wijesinghe,Annual,0,Effective,Ineffective,40,16,2025-05-19,2026-05-19,R03955,Medium,Overdue
C0409,Change Management Control 0409,Change Management,Detective,M. Wijesinghe,Quarterly,1,Effective,Effective,10,0,2026-05-20,2026-08-18,R04641,None,Overdue
C0410,Incident Response Control 0410,Incident Response,Preventive,K. Fernando,Quarterly,1,Ineffective,Effective,15,0,2026-04-10,2026-07-09,R00820,None,Overdue
C0411,Access Control Control 0411,Access Control,Detective,N. Silva,Quarterly,0,Effective,Needs Improvement,30,6,2025-09-22,2025-12-21,R01013,Low,Overdue
C0412,Change Management Control 0412,Change Management,Detective,M. Wijesinghe,Semi-Annual,1,Ineffective,Needs Improvement,40,4,2026-03-10,2026-09-06,R00033,High,Scheduled
C0413,Access Control Control 0413,Access Control,Preventive,R. Gunawardena,Monthly,1,Effective,Effective,25,0,2025-09-04,2025-10-04,R02313,None,Overdue
C0414,Vulnerability Management Control 0414,Vulnerability Management,Preventive,M. Wijesinghe,Quarterly,0,Effective,Needs Improvement,15,2,2026-01-13,2026-04-13,R03976,High,Overdue
C0415,Data Protection Control 0415,Data Protection,Preventive,N. Silva,Continuous,1,Effective,Needs Improvement,10,1,2026-02-18,2026-03-20,R02314,Critical,Overdue
C0416,Data Protection Control 0416,Data Protection,Corrective,D. Senanayake,Quarterly,0,Effective,Needs Improvement,40,14,2026-05-22,2026-08-20,R04641,Low,Overdue
C0417,Security Awareness Control 0417,Security Awareness,Corrective,R. Gunawardena,Continuous,0,Effective,Needs Improvement,15,7,2025-10-25,2025-11-24,R02229,Low,Overdue
C0418,Data Protection Control 0418,Data Protection,Detective,S. Jayasinghe,Continuous,0,Effective,Effective,20,0,2025-06-29,2025-07-29,R04435,None,Overdue
C0419,Security Awareness Control 0419,Security Awareness,Detective,K. Fernando,Quarterly,1,Effective,Effective,15,0,2025-08-06,2025-11-04,R02685,None,Overdue
C0420,Third-Party Risk Control 0420,Third-Party Risk,Detective,S. Jayasinghe,Quarterly,1,Effective,Effective,40,0,2026-08-01,2026-10-30,R03438,None,Scheduled
C0421,Security Awareness Control 0421,Security Awareness,Preventive,T. Karunaratne,Annual,0,Ineffective,Needs Improvement,30,2,2026-08-14,2027-08-14,R03669,Low,Scheduled
C0422,Access Control Control 0422,Access Control,Corrective,M. Wijesinghe,Quarterly,0,Needs Improvement,Effective,15,0,2026-07-04,2026-10-02,R02808,None,Scheduled
C0423,Incident Response Control 0423,Incident Response,Corrective,T. Karunaratne,Quarterly,0,Effective,Effective,25,0,2026-06-21,2026-09-19,R02400,None,Scheduled
C0424,Vulnerability Management Control 0424,Vulnerability Management,Detective,N. Silva,Quarterly,0,Effective,Effective,25,0,2025-12-15,2026-03-15,R02183,None,Overdue
C0425,Access Control Control 0425,Access Control,Corrective,N. Silva,Monthly,0,Effective,Effective,20,0,2026-02-20,2026-03-22,R03225,None,Overdue
C0426,Incident Response Control 0426,Incident Response,Detective,M. Wijesinghe,Quarterly,0,Effective,Needs Improvement,25,6,2025-06-21,2025-09-19,R03466,Low,Overdue
C0427,Incident Response Control 0427,Incident Response,Detective,N. Silva,Monthly,1,Effective,Effective,20,0,2025-05-07,2025-06-06,R03668,None,Overdue
C0428,Business Continuity Control 0428,Business Continuity,Corrective,D. Senanayake,Annual,0,Ineffective,Effective,30,0,2026-01-02,2027-01-02,R01760,None,Scheduled
C0429,Incident Response Control 0429,Incident Response,Detective,T. Karunaratne,Quarterly,0,Effective,Effective,5,0,2025-12-20,2026-03-20,R04255,None,Overdue
C0430,Security Awareness Control 0430,Security Awareness,Preventive,M. Wijesinghe,Monthly,1,Effective,Effective,5,0,2025-06-03,2025-07-03,R01010,None,Overdue
C0431,Incident Response Control 0431,Incident Response,Detective,R. Gunawardena,Semi-Annual,0,Needs Improvement,Effective,10,0,2025-07-07,2026-01-03,R04109,None,Overdue
C0432,Business Continuity Control 0432,Business Continuity,Preventive,T. Karunaratne,Continuous,1,Needs Improvement,Effective,30,0,2025-12-10,2026-01-09,R04600,None,Overdue
C0433,Third-Party Risk Control 0433,Third-Party Risk,Preventive,N. Silva,Annual,1,Effective,Needs Improvement,40,15,2025-06-19,2026-06-19,R02512,Low,Overdue
C0434,Access Control Control 0434,Access Control,Preventive,M. Wijesinghe,Monthly,1,Effective,Needs Improvement,15,3,2025-10-05,2025-11-04,R03749,Low,Overdue
C0435,Incident Response Control 0435,Incident Response,Detective,K. Fernando,Semi-Annual,1,Needs Improvement,Needs Improvement,20,5,2025-12-09,2026-06-07,R01999,Low,Overdue
C0436,Security Awareness Control 0436,Security Awareness,Preventive,M. Wijesinghe,Semi-Annual,1,Effective,Not Tested,10,1,2026-05-29,2026-11-25,R01412,Low,Scheduled
C0437,Change Management Control 0437,Change Management,Preventive,M. Wijesinghe,Monthly,1,Effective,Ineffective,25,7,2025-06-20,2025-07-20,R01507,High,Overdue
C0438,Security Awareness Control 0438,Security Awareness,Preventive,N. Silva,Semi-Annual,0,Effective,Effective,5,0,2026-06-08,2026-12-05,R02441,None,Scheduled
C0439,Vulnerability Management Control 0439,Vulnerability Management,Detective,A. Perera,Quarterly,0,Needs Improvement,Effective,25,0,2026-08-13,2026-11-11,R03142,None,Scheduled
C0440,Access Control Control 0440,Access Control,Detective,N. Silva,Continuous,0,Effective,Needs Improvement,40,6,2026-01-10,2026-02-09,R03558,Low,Overdue
C0441,Access Control Control 0441,Access Control,Detective,R. Gunawardena,Quarterly,0,Effective,Effective,20,0,2026-08-09,2026-11-07,R03509,None,Scheduled
C0442,Access Control Control 0442,Access Control,Detective,S. Jayasinghe,Continuous,1,Needs Improvement,Ineffective,25,11,2026-01-27,2026-02-26,R03845,Low,Overdue
C0443,Business Continuity Control 0443,Business Continuity,Detective,M. Wijesinghe,Quarterly,0,Needs Improvement,Effective,30,0,2025-06-29,2025-09-27,R00290,None,Overdue
C0444,Incident Response Control 0444,Incident Response,Preventive,A. Perera,Quarterly,0,Effective,Effective,30,0,2025-03-13,2025-06-11,R00654,None,Overdue
C0445,Access Control Control 0445,Access Control,Preventive,S. Jayasinghe,Semi-Annual,1,Needs Improvement,Needs Improvement,40,10,2026-07-05,2027-01-01,R02129,High,Scheduled
C0446,Incident Response Control 0446,Incident Response,Detective,K. Fernando,Monthly,0,Needs Improvement,Not Tested,20,4,2025-03-28,2025-04-27,R04233,Low,Overdue
C0447,Business Continuity Control 0447,Business Continuity,Corrective,N. Silva,Quarterly,1,Effective,Effective,30,0,2025-05-03,2025-08-01,R01470,None,Overdue
C0448,Incident Response Control 0448,Incident Response,Preventive,K. Fernando,Semi-Annual,1,Effective,Effective,40,0,2026-02-28,2026-08-27,R02956,None,Overdue
C0449,Business Continuity Control 0449,Business Continuity,Corrective,K. Fernando,Continuous,1,Effective,Needs Improvement,30,6,2026-01-12,2026-02-11,R01311,Low,Overdue
C0450,Business Continuity Control 0450,Business Continuity,Preventive,R. Gunawardena,Continuous,1,Effective,Effective,25,0,2026-02-13,2026-03-15,R02981,None,Overdue
C0451,Change Management Control 0451,Change Management,Detective,A. Perera,Annual,0,Effective,Needs Improvement,40,17,2025-05-15,2026-05-15,R02622,Medium,Overdue
C0452,Security Awareness Control 0452,Security Awareness,Preventive,R. Gunawardena,Quarterly,0,Effective,Effective,30,0,2026-01-07,2026-04-07,R02530,None,Overdue
C0453,Incident Response Control 0453,Incident Response,Preventive,M. Wijesinghe,Monthly,1,Effective,Needs Improvement,10,2,2026-02-20,2026-03-22,R04365,High,Overdue
C0454,Data Protection Control 0454,Data Protection,Corrective,K. Fernando,Semi-Annual,1,Effective,Effective,20,0,2026-08-28,2027-02-24,R02046,None,Scheduled
C0455,Access Control Control 0455,Access Control,Preventive,T. Karunaratne,Quarterly,1,Effective,Needs Improvement,25,10,2026-07-09,2026-10-07,R02015,Low,Scheduled
C0456,Business Continuity Control 0456,Business Continuity,Preventive,N. Silva,Semi-Annual,1,Effective,Effective,20,0,2026-02-27,2026-08-26,R03586,None,Overdue
C0457,Change Management Control 0457,Change Management,Detective,M. Wijesinghe,Continuous,1,Effective,Effective,20,0,2025-08-28,2025-09-27,R04859,None,Overdue
C0458,Data Protection Control 0458,Data Protection,Corrective,D. Senanayake,Semi-Annual,0,Effective,Effective,20,0,2026-02-15,2026-08-14,R02056,None,Overdue
C0459,Access Control Control 0459,Access Control,Corrective,M. Wijesinghe,Semi-Annual,1,Effective,Needs Improvement,25,10,2026-06-09,2026-12-06,R03574,Low,Scheduled
C0460,Third-Party Risk Control 0460,Third-Party Risk,Preventive,D. Senanayake,Quarterly,0,Needs Improvement,Ineffective,30,5,2025-06-19,2025-09-17,R04953,Critical,Overdue
C0461,Incident Response Control 0461,Incident Response,Preventive,A. Perera,Annual,0,Effective,Not Tested,25,8,2026-05-24,2027-05-24,R01337,Medium,Scheduled
C0462,Access Control Control 0462,Access Control,Preventive,T. Karunaratne,Annual,0,Effective,Effective,30,0,2025-04-11,2026-04-11,R02399,None,Overdue
C0463,Incident Response Control 0463,Incident Response,Preventive,T. Karunaratne,Monthly,0,Effective,Effective,10,0,2025-07-01,2025-07-31,R03549,None,Overdue
C0464,Business Continuity Control 0464,Business Continuity,Preventive,K. Fernando,Semi-Annual,1,Effective,Needs Improvement,15,1,2026-07-12,2027-01-08,R02826,High,Scheduled
C0465,Change Management Control 0465,Change Management,Preventive,R. Gunawardena,Quarterly,0,Effective,Ineffective,30,12,2026-04-08,2026-07-07,R03494,Medium,Overdue
C0466,Incident Response Control 0466,Incident Response,Detective,K. Fernando,Quarterly,0,Needs Improvement,Effective,30,0,2025-12-11,2026-03-11,R04867,None,Overdue
C0467,Third-Party Risk Control 0467,Third-Party Risk,Preventive,T. Karunaratne,Semi-Annual,1,Effective,Needs Improvement,25,10,2025-05-05,2025-11-01,R00215,Medium,Overdue
C0468,Access Control Control 0468,Access Control,Preventive,S. Jayasinghe,Annual,0,Needs Improvement,Effective,20,0,2025-09-24,2026-09-24,R01595,None,Scheduled
C0469,Data Protection Control 0469,Data Protection,Detective,R. Gunawardena,Continuous,0,Needs Improvement,Effective,10,0,2026-02-27,2026-03-29,R00681,None,Overdue
C0470,Change Management Control 0470,Change Management,Preventive,S. Jayasinghe,Continuous,0,Needs Improvement,Effective,40,0,2025-08-10,2025-09-09,R03004,None,Overdue
C0471,Data Protection Control 0471,Data Protection,Preventive,R. Gunawardena,Monthly,0,Effective,Needs Improvement,20,6,2026-06-20,2026-07-20,R04481,High,Overdue
C0472,Change Management Control 0472,Change Management,Preventive,T. Karunaratne,Monthly,0,Effective,Needs Improvement,10,2,2025-10-28,2025-11-27,R00620,Medium,Overdue
C0473,Incident Response Control 0473,Incident Response,Detective,T. Karunaratne,Annual,0,Ineffective,Effective,25,0,2025-04-22,2026-04-22,R00873,None,Overdue
C0474,Data Protection Control 0474,Data Protection,Detective,T. Karunaratne,Quarterly,0,Effective,Effective,20,0,2025-12-05,2026-03-05,R00574,None,Overdue
C0475,Data Protection Control 0475,Data Protection,Preventive,T. Karunaratne,Monthly,1,Effective,Effective,25,0,2025-09-17,2025-10-17,R02108,None,Overdue
C0476,Business Continuity Control 0476,Business Continuity,Detective,D. Senanayake,Annual,1,Effective,Needs Improvement,40,3,2025-07-17,2026-07-17,R01003,Medium,Overdue
C0477,Vulnerability Management Control 0477,Vulnerability Management,Preventive,D. Senanayake,Quarterly,0,Effective,Effective,15,0,2025-05-11,2025-08-09,R02273,None,Overdue
C0478,Incident Response Control 0478,Incident Response,Detective,T. Karunaratne,Continuous,0,Effective,Effective,10,0,2026-02-13,2026-03-15,R01035,None,Overdue
C0479,Change Management Control 0479,Change Management,Detective,T. Karunaratne,Monthly,0,Effective,Effective,15,0,2025-11-05,2025-12-05,R03616,None,Overdue
C0480,Third-Party Risk Control 0480,Third-Party Risk,Detective,N. Silva,Continuous,1,Effective,Ineffective,15,6,2026-07-25,2026-08-24,R03012,Low,Overdue
C0481,Business Continuity Control 0481,Business Continuity,Detective,D. Senanayake,Quarterly,0,Needs Improvement,Effective,20,0,2025-08-09,2025-11-07,R03059,None,Overdue
C0482,Change Management Control 0482,Change Management,Detective,M. Wijesinghe,Continuous,0,Ineffective,Ineffective,20,2,2025-07-29,2025-08-28,R01781,Medium,Overdue
C0483,Business Continuity Control 0483,Business Continuity,Detective,R. Gunawardena,Monthly,0,Effective,Effective,10,0,2026-06-18,2026-07-18,R03107,None,Overdue
C0484,Access Control Control 0484,Access Control,Preventive,T. Karunaratne,Monthly,1,Effective,Effective,40,0,2026-06-09,2026-07-09,R04404,None,Overdue
C0485,Security Awareness Control 0485,Security Awareness,Preventive,T. Karunaratne,Quarterly,0,Effective,Needs Improvement,10,3,2026-03-07,2026-06-05,R03560,High,Overdue
C0486,Vulnerability Management Control 0486,Vulnerability Management,Detective,T. Karunaratne,Continuous,0,Effective,Effective,30,0,2025-12-09,2026-01-08,R01253,None,Overdue
C0487,Access Control Control 0487,Access Control,Detective,M. Wijesinghe,Annual,1,Needs Improvement,Needs Improvement,25,4,2025-09-12,2026-09-12,R04723,Medium,Scheduled
C0488,Change Management Control 0488,Change Management,Preventive,N. Silva,Monthly,0,Effective,Not Tested,25,9,2025-08-03,2025-09-02,R02018,High,Overdue
C0489,Access Control Control 0489,Access Control,Corrective,D. Senanayake,Continuous,1,Effective,Needs Improvement,20,5,2025-11-09,2025-12-09,R03386,Medium,Overdue
C0490,Vulnerability Management Control 0490,Vulnerability Management,Preventive,R. Gunawardena,Quarterly,1,Effective,Needs Improvement,10,3,2025-03-17,2025-06-15,R02819,Low,Overdue
